country_name_short,country_name,election_date,start_date,cabinet_name,caretaker,cabinet_party,prime_minister,seats,election_seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,cabinet_id,previous_cabinet_id,party_id
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,1,1,43,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,739,490,574.0,1253
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,0,0,2,75,LCL,Liberal and Country League,Liberal and Country League,3.3,33,739,490,574.0,1919
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,0,0,1,75,LLP,Lang Labour Party,Lang Labour Party,3.3,33,739,490,574.0,303
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,0,0,15,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,739,490,574.0,1411
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,0,0,12,75,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,739,490,574.0,184
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,0,0,2,75,none,no party affiliation,no party affiliation,,33,739,490,574.0,1396
AUS,Australia,1949-12-10,1949-12-19,Menzies IV,0,0,0,48,123,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,734,450,490.0,1253
AUS,Australia,1949-12-10,1949-12-19,Menzies IV,0,1,1,55,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,734,450,490.0,1411
AUS,Australia,1949-12-10,1949-12-19,Menzies IV,0,1,0,19,123,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,734,450,490.0,184
AUS,Australia,1949-12-10,1949-12-19,Menzies IV,0,0,0,1,123,none,no party affiliation,no party affiliation,,33,734,450,490.0,1396
AUS,Australia,1951-04-28,1951-05-11,Menzies V,0,0,0,54,123,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,763,566,450.0,1253
AUS,Australia,1951-04-28,1951-05-11,Menzies V,0,1,1,52,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,763,566,450.0,1411
AUS,Australia,1951-04-28,1951-05-11,Menzies V,0,1,0,17,123,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,763,566,450.0,184
AUS,Australia,1954-05-29,1954-07-09,Menzies VI,0,0,0,59,123,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,743,178,566.0,1253
AUS,Australia,1954-05-29,1954-07-09,Menzies VI,0,1,1,47,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,743,178,566.0,1411
AUS,Australia,1954-05-29,1954-07-09,Menzies VI,0,1,0,17,123,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,743,178,566.0,184
AUS,Australia,1955-12-10,1956-01-11,Menzies VII,0,0,0,49,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,742,479,178.0,1253
AUS,Australia,1955-12-10,1956-01-11,Menzies VII,0,1,1,57,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,742,479,178.0,1411
AUS,Australia,1955-12-10,1956-01-11,Menzies VII,0,1,0,18,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,742,479,178.0,184
AUS,Australia,1958-11-22,1958-12-10,Menzies IIX,0,0,0,47,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,749,627,479.0,1253
